u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id,Ratio
95663492,95663376,Μενάνδρου,tertiary,yes,63.092,1,,,,,,,,,62,2.581857801599719e-05
95663492,95663418,Χαλκοκονδύλη,secondary,yes,32.147,1,,,,,,,,,63,2.581857801599719e-05
635132991,95663474,Μάγερ,primary,yes,93.455,1,,,,,,,,,64,0.0004027698170495562
97834761,8253823131,Μάρνη,secondary,yes,11.767,2,,,,,,,,,65,0.000836521927718309
97834761,2425856882,Μαιζώνος,pedestrian,,66.931,,,,,,,,,,66,1.032743120639888e-05
2425856882,2425856881,,service,no,19.202,,,,,,,,,,67,0.0
2425856882,95663501,Μαιζώνος,service,,23.88,,,,,,,,,,68,1.032743120639888e-05
2425856882,97834761,Μαιζώνος,pedestrian,,66.931,,,,,,,,,,69,0.0
95663631,95663529,Μακεδονίας,residential,yes,107.666,,,,,,,,,,70,6.196458723839325e-05
95663631,95663394,3ης Σεπτεμβρίου,secondary,yes,73.94600000000001,2,,,,,,,,,71,0.005912454365663357
95663529,95663398,Αριστοτέλους,tertiary,yes,75.19800000000001,2,,,,,,,,,72,0.0
97788219,97788769,Δεληγιάννη,residential,yes,55.35,,,,,,,,,,73,0.0
97788219,97797051,Μπουμπουλίνας,tertiary,yes,99.884,,,,,,,,,,74,2.065486241279775e-05
97788477,97788471,Ιουλιανού,secondary,yes,115.456,2,,,,,,,,,75,1.032743120639888e-05
97788477,97788216,Πατησίων,primary,yes,153.013,2,,ΕΟ1,,,,,,,76,0.01327074910022256
97788471,358465939,Ιουλιανού,secondary,yes,69.69800000000001,2,,,,,,,,,77,0.0007332476156543202
97788471,358465410,3ης Σεπτεμβρίου,secondary,yes,86.02600000000001,2,,,,,,,,,78,0.00432202995987793
358465939,95663543,"['Ιουλιανού', 'Αριστοτέλους']","['secondary', 'tertiary']",yes,190.797,2,,,,,,,,,79,0.0
97788686,97788594,Καποδιστρίου,secondary,yes,77.18299999999999,2,,,,,,,,,80,1.549114680959831e-05
97788686,250713539,Τζωρτζ,residential,yes,118.503,,,,,,,,,,81,0.0002065486241279775
97788594,516020524,Καποδιστρίου,secondary,yes,80.045,2,,,,,,,,,82,4.130972482559551e-05
97788594,3731648988,Κάνιγγος,residential,yes,58.297,,,,,,,,,,83,0.0003924423858431573
3731648988,2372564894,Κάνιγγος,residential,yes,19.505,,,,,,,,,,84,0.0003098229361919663
3731648988,250713539,Ακαδημίας,secondary,yes,89.44899999999998,2,,,,,,,,,85,0.01116911684972038
97788848,97797086,Νοταρά,residential,yes,98.77,,,,,,,,,,86,0.0
97788848,97788855,Δεληγιάννη,residential,yes,41.416,,,,,,,,,,87,0.0
97797086,97797081,Μετσόβου,residential,yes,43.217,,,,,,,,,,88,0.0
97797086,358464018,Νοταρά,residential,yes,100.717,,,,,,,,,,89,0.0
358464018,569850326,"['Σπύρου Τρικούπη', 'Αλεξάνδρας']","['primary', 'tertiary']",yes,139.68200000000002,"['3', '1']",,,,"[None, '50']",,,,,90,0.003707547803097197
569850326,97797086,Μετσόβου,residential,yes,39.607,,,,,,,,,,91,5.163715603199438e-06
