Edge,Frequency,Ratio
62,5,2.58186E-05
3,5,2.58186E-05
224,2,1.03274E-05
120,41,0.000211712
16,2,1.03274E-05
18,2,1.03274E-05
207,5,2.58186E-05
176,5,2.58186E-05
258,3,1.54911E-05
47,2,1.03274E-05
369,2,1.03274E-05
359,1,5.16372E-06
239,7,3.6146E-05
329,7,3.6146E-05
21,1,5.16372E-06
6,1,5.16372E-06
4,5,2.58186E-05
162,2,1.03274E-05
165,1,5.16372E-06
259,1,5.16372E-06
406,2,1.03274E-05
421,2,1.03274E-05
150,11,5.68009E-05
280,2,1.03274E-05
164,1,5.16372E-06
210,1,5.16372E-06
24,2,1.03274E-05
225,1,5.16372E-06
100,1,5.16372E-06
145,1,5.16372E-06
131,1,5.16372E-06
335,1,5.16372E-06
91,1,5.16372E-06
