Iteration,Elapsed Time,Discriminator Loss,Value Loss,Policy Loss,Edit Distance,Best Edit Distance
10,114.09823846817017,1.4252952337265015,883.9666868448257,-1.4221876300871372,0.9989791097161755,0.9989791097161755
20,238.78837943077087,1.3875222206115723,166.29024177789688,-1.488259157165885,0.9989791097161755,0.9989791097161755
30,364.5284307003021,1.3733270168304443,126.32196836173534,-1.2758532026782632,0.9994094023151429,0.9989791097161755
40,487.79442405700684,1.3766542673110962,76.89373010396957,-0.9178282739594579,0.9977264801502931,0.9977264801502931
50,612.8555836677551,1.3900036811828613,34.57366222143173,-2.0446207355707884,0.952074159826687,0.952074159826687
60,737.6281216144562,1.360710859298706,35.5981917232275,-1.64093665080145,0.988802471425351,0.952074159826687
70,863.5005691051483,1.3726507425308228,35.08275045454502,-2.280213645659387,0.9124169846925438,0.9124169846925438
80,988.7321701049805,1.3490850925445557,31.881271451711655,-1.802478070370853,0.9474350049475494,0.9124169846925438
90,1114.9973981380463,1.3481345176696777,42.54940211772919,-1.4188780663535,0.9601892951900269,0.9124169846925438
100,1240.9183247089386,1.3489174842834473,33.34995540976524,-2.0390299600549042,0.8515788253117162,0.8515788253117162
110,1364.9120326042175,1.343188762664795,41.15742802619934,-1.9407299468293786,0.8655949005883148,0.8515788253117162
120,1488.974939584732,1.3461682796478271,54.000202372670174,-2.2437163083814085,0.8168355592137424,0.8168355592137424
130,1612.294427871704,1.3627817630767822,39.964597284793854,-1.7713465802371502,0.7732028564998815,0.7732028564998815
140,1736.3158798217773,1.3374228477478027,62.72851771116257,-1.8848388995975256,0.7392647241553075,0.7392647241553075
150,1860.7819471359253,1.3342337608337402,53.258985102176666,-1.9606194365769625,0.6687724202674614,0.6687724202674614
160,1983.5560238361359,1.3461480140686035,64.75210651755333,-1.8660229407250881,0.6924438204494913,0.6687724202674614
170,2107.1841156482697,1.3369638919830322,58.43498679995537,-1.7171713546849787,0.6362229384961899,0.6362229384961899
180,2231.502587556839,1.34928560256958,42.563712656497955,-2.0695482343435287,0.5487986147225583,0.5487986147225583
190,2345.782817363739,1.3321185111999512,51.6937271207571,-1.6497560879215598,0.4228290837760555,0.4228290837760555
200,2467.682763814926,1.3369226455688477,80.67065984010696,-2.1478123692795634,0.4368352475711212,0.4228290837760555
210,2586.9996032714844,1.3518450260162354,45.66301377117634,-2.2272491101175547,0.4833415302312475,0.4228290837760555
220,2709.328703403473,1.3315927982330322,82.5437612682581,-1.822608887217939,0.43380882316615593,0.4228290837760555
230,2830.343969345093,1.3208659887313843,91.74136421084404,-2.0418465370312333,0.47757505316503196,0.4228290837760555
240,2950.7601289749146,1.3490931987762451,38.190699964761734,-2.5893937665969133,0.38838125659210276,0.38838125659210276
250,3070.43522977829,1.3495705127716064,85.02848902344704,-1.9224512251093984,0.397992869245738,0.38838125659210276
260,3191.0426166057587,1.3468570709228516,59.88848017156124,-1.819999541155994,0.3759542020418735,0.3759542020418735
270,3311.137064218521,1.3360077142715454,77.1729849204421,-2.2486666264012456,0.3793413674716806,0.3759542020418735
280,3431.3883678913116,1.342606544494629,56.775983199477196,-2.11322948243469,0.32124235968730075,0.32124235968730075
290,3551.9329986572266,1.3438153266906738,101.13935525715351,-2.520309751853347,0.3583351420079426,0.32124235968730075
300,3672.6305804252625,1.3287229537963867,100.51906111836433,-1.6487346161156893,0.3178608080549562,0.3178608080549562
310,3792.9499554634094,1.3375375270843506,77.22584339976311,-2.2136270720511675,0.3883605502690496,0.3178608080549562
320,3914.7221376895905,1.3389456272125244,75.37091585993767,-2.096492220181972,0.27930124019264646,0.27930124019264646
330,4036.4949820041656,1.3108317852020264,61.61880561709404,-2.6418078308925033,0.3538005039176278,0.27930124019264646
340,4157.716826438904,1.3403635025024414,105.79317179322243,-1.8559068506583571,0.2793259935470363,0.27930124019264646
350,4280.294141054153,1.3080143928527832,47.32814946770668,-2.013034532777965,0.36026007326777415,0.27930124019264646
360,4402.088455200195,1.3067188262939453,42.359846487641335,-2.2692664805799723,0.3858630549293331,0.27930124019264646
370,4523.308133840561,1.3352031707763672,58.89047710597515,-2.0616445997729897,0.26993009625845954,0.26993009625845954
380,4645.66894698143,1.3142659664154053,56.54368123412132,-2.007915381807834,0.337952570936546,0.26993009625845954
390,4765.074956655502,1.3258334398269653,64.73233565688133,-1.9808001471683383,0.3132895402355072,0.26993009625845954
400,4885.543032169342,1.327126383781433,60.975195199251175,-2.203901145607233,0.26025325474665234,0.26025325474665234
410,5005.479195356369,1.326974868774414,61.49403224885464,-2.455668471986428,0.3115841015372792,0.26025325474665234
420,5125.838742256165,1.319855809211731,47.43605129420757,-2.2379636457189918,0.4124233903871169,0.26025325474665234
430,5247.652511358261,1.3123412132263184,67.28155191615224,-2.204043162986636,0.2661323095179218,0.26025325474665234
440,5369.311813116074,1.3244926929473877,62.106851160526276,-2.3234000131487846,0.2913096838726263,0.26025325474665234
450,5491.320687532425,1.3265869617462158,58.42169752717018,-2.6657699747011065,0.306859011504302,0.26025325474665234
460,5613.354052305222,1.308321475982666,64.23698391020298,-1.4136207308620214,0.2828243447406818,0.26025325474665234
470,5734.551550865173,1.3289411067962646,43.03102917782962,-2.1957672433927655,0.3130373747489386,0.26025325474665234
480,5855.923364162445,1.3159468173980713,54.880907759070396,-1.956686383113265,0.2894529237834681,0.26025325474665234
490,5976.418886184692,1.3325879573822021,71.64853093028069,-1.5347158573567867,0.28494446535579726,0.26025325474665234
500,6097.300137042999,1.337749719619751,45.00165659189224,-2.1539365742355585,0.27357418418163537,0.26025325474665234
510,6210.000375509262,1.3165459632873535,85.19407001137733,-2.4639184325933456,0.28825060324721885,0.26025325474665234
